P,E,eta,uptime,fee,profit_mean,P_loss,mis_naive,mis_std,mis_champ,VPI_vs_naive,val_champ_vs_naive,val_champ_vs_std
40000.0,0.03,18,0.9,0.05,449231.7564100742,0.0,23283.322135604998,25246.819602866984,20826.022458106567,23283.322135604998,2457.2996774984313,4420.797144760418
40000.0,0.03,18,0.9,0.3,497462.2884108674,0.0,25116.654587227436,27234.758154273823,22465.866746146454,25116.654587227436,2650.7878410809826,4768.891408127369
40000.0,0.03,18,0.97,0.05,484172.0041308577,0.0,25094.247190596492,27210.461127534414,22445.824204848188,25094.247190596492,2648.422985748304,4764.636922686226
40000.0,0.03,18,0.97,0.3,536153.7997317127,0.0,27070.172166234013,29353.01712182846,24213.2119375134,27070.172166234013,2856.9602287206144,5139.805184315061
40000.0,0.03,25,0.9,0.05,385727.7564100742,0.05504587155963303,23283.322135604998,25246.819602866984,20826.022458106567,23283.322135604998,2457.2996774984313,4420.797144760418
40000.0,0.03,25,0.9,0.3,433958.2884108674,0.027522935779816515,25116.654587227436,27234.758154273823,22465.866746146454,25116.654587227436,2650.7878410809826,4768.891408127369
40000.0,0.03,25,0.97,0.05,415728.80413085764,0.05504587155963303,25094.247190596492,27210.461127534414,22445.824204848188,25094.247190596492,2648.422985748304,4764.636922686226
40000.0,0.03,25,0.97,0.3,467710.59973171266,0.027522935779816515,27070.172166234013,29353.01712182846,24213.2119375134,27070.172166234013,2856.9602287206144,5139.805184315061
40000.0,0.03,32,0.9,0.05,322223.7564100742,0.22018348623853212,23283.322135604998,25246.819602866984,20826.022458106567,23283.322135604998,2457.2996774984313,4420.797144760418
40000.0,0.03,32,0.9,0.3,370454.2884108674,0.1559633027522936,25116.654587227436,27234.758154273823,22465.866746146454,25116.654587227436,2650.7878410809826,4768.891408127369
40000.0,0.03,32,0.97,0.05,347285.6041308576,0.22018348623853212,25094.247190596492,27210.461127534414,22445.824204848188,25094.247190596492,2648.422985748304,4764.636922686226
40000.0,0.03,32,0.97,0.3,399267.39973171265,0.1559633027522936,27070.172166234013,29353.01712182846,24213.2119375134,27070.172166234013,2856.9602287206144,5139.805184315061
40000.0,0.05,18,0.9,0.05,340367.7564100742,0.1651376146788991,23283.322135604998,25246.819602866984,20826.022458106567,23283.322135604998,2457.2996774984313,4420.797144760418
40000.0,0.05,18,0.9,0.3,388598.2884108674,0.11926605504587157,25116.654587227436,27234.758154273823,22465.866746146454,25116.654587227436,2650.7878410809826,4768.891408127369
40000.0,0.05,18,0.97,0.05,366840.80413085764,0.1651376146788991,25094.247190596492,27210.461127534414,22445.824204848188,25094.247190596492,2648.422985748304,4764.636922686226
40000.0,0.05,18,0.97,0.3,418822.59973171266,0.11926605504587157,27070.172166234013,29353.01712182846,24213.2119375134,27070.172166234013,2856.9602287206144,5139.805184315061
40000.0,0.05,25,0.9,0.05,234527.75641007416,0.3853211009174312,23283.322135604998,25246.819602866984,20826.022458106567,23283.322135604998,2457.2996774984313,4420.797144760418
40000.0,0.05,25,0.9,0.3,282758.2884108674,0.30275229357798167,25116.654587227436,27234.758154273823,22465.866746146454,25116.654587227436,2650.7878410809826,4768.891408127369
40000.0,0.05,25,0.97,0.05,252768.80413085766,0.3853211009174312,25094.247190596492,27210.461127534414,22445.824204848188,25094.247190596492,2648.422985748304,4764.636922686226
40000.0,0.05,25,0.97,0.3,304750.5997317126,0.30275229357798167,27070.172166234013,29353.01712182846,24213.2119375134,27070.172166234013,2856.9602287206144,5139.805184315061
40000.0,0.05,32,0.9,0.05,128687.75641007417,0.4954128440366973,23283.322135604998,25246.819602866984,20826.022458106567,23283.322135604998,2457.2996774984313,4420.797144760418
40000.0,0.05,32,0.9,0.3,176918.2884108674,0.47706422018348627,25116.654587227436,27234.758154273823,22465.866746146454,25116.654587227436,2650.7878410809826,4768.891408127369
40000.0,0.05,32,0.97,0.05,138696.80413085766,0.4954128440366973,25094.247190596492,27210.461127534414,22445.824204848188,25094.247190596492,2648.422985748304,4764.636922686226
40000.0,0.05,32,0.97,0.3,190678.5997317126,0.47706422018348627,27070.172166234013,29353.01712182846,24213.2119375134,27070.172166234013,2856.9602287206144,5139.805184315061
40000.0,0.07,18,0.9,0.05,231503.7564100741,0.4036697247706422,23283.322135604998,25246.819602866984,20826.022458106567,23283.322135604998,2457.2996774984313,4420.797144760418
40000.0,0.07,18,0.9,0.3,279734.28841086733,0.3119266055045872,25116.654587227436,27234.758154273823,22465.866746146454,25116.654587227436,2650.7878410809826,4768.891408127369
40000.0,0.07,18,0.97,0.05,249509.6041308576,0.4036697247706422,25094.247190596492,27210.461127534414,22445.824204848188,25094.247190596492,2648.422985748304,4764.636922686226
40000.0,0.07,18,0.97,0.3,301491.39973171265,0.3119266055045872,27070.172166234013,29353.01712182846,24213.2119375134,27070.172166234013,2856.9602287206144,5139.805184315061
40000.0,0.07,25,0.9,0.05,83327.75641007406,0.5229357798165137,23283.322135604998,25246.819602866984,20826.022458106567,23283.322135604998,2457.2996774984313,4420.797144760418
40000.0,0.07,25,0.9,0.3,131558.28841086727,0.5045871559633027,25116.654587227436,27234.758154273823,22465.866746146454,25116.654587227436,2650.7878410809826,4768.891408127369
40000.0,0.07,25,0.97,0.05,89808.80413085755,0.5229357798165137,25094.247190596492,27210.461127534414,22445.824204848188,25094.247190596492,2648.422985748304,4764.636922686226
40000.0,0.07,25,0.97,0.3,141790.5997317125,0.5045871559633027,27070.172166234013,29353.01712182846,24213.2119375134,27070.172166234013,2856.9602287206144,5139.805184315061
40000.0,0.07,32,0.9,0.05,-64848.24358992596,0.6605504587155964,23283.322135604998,25246.819602866984,20826.022458106567,23283.322135604998,2457.2996774984313,4420.797144760418
40000.0,0.07,32,0.9,0.3,-16617.71158913271,0.6146788990825688,25116.654587227436,27234.758154273823,22465.866746146454,25116.654587227436,2650.7878410809826,4768.891408127369
40000.0,0.07,32,0.97,0.05,-69891.9958691424,0.6605504587155964,25094.247190596492,27210.461127534414,22445.824204848188,25094.247190596492,2648.422985748304,4764.636922686226
40000.0,0.07,32,0.97,0.3,-17910.20026828745,0.6146788990825688,27070.172166234013,29353.01712182846,24213.2119375134,27070.172166234013,2856.9602287206144,5139.805184315061
